No.;Time;;;;;;Time 2;Time 1;Delay;;;Delay 1;Delay 2;Jitter
273;4,55177;;;;;;4,552038;4,55177;0,000268;;;-0,566351;0,566619;1,13297
274;4,552038;;;;;;5,118657;4,552038;0,566619;;;0,56657;4,9E-05;-0,566521
275;5,118657;;;;;;5,118706;5,118657;4,9E-05;;;-1,564342;1,564391;3,128733
276;5,118706;;;;;;6,683097;5,118706;1,564391;;;1,563896;0,000495;-1,563401
277;6,683097;;;;;;6,683592;6,683097;0,000495;;;0,000342;0,000153;-0,000189
278;6,683592;;;;;;6,683745;6,683592;0,000153;;;-0,004788;0,004941;0,009729
279;6,683745;;;;;;6,688686;6,683745;0,004941;;;0,004602;0,000339;-0,004263
280;6,688686;;;;;;6,689025;6,688686;0,000339;;;-0,021017;0,021356;0,042373
281;6,689025;;;;;;6,710381;6,689025;0,021356;;;0,021237;0,000119;-0,021118
282;6,710381;;;;;;6,7105;6,710381;0,000119;;;-0,001734;0,001853;0,003587
283;6,7105;;;;;;6,712353;6,7105;0,001853;;;0,001305;0,000548;-0,000757
284;6,712353;;;;;;6,712901;6,712353;0,000548;;;-0,02149;0,022038;0,043528
285;6,712901;;;;;;6,734939;6,712901;0,022038;;;0,017937;0,004101;-0,013836
286;6,734939;;;;;;6,73904;6,734939;0,004101;;;-0,004596;0,008697;0,013293
287;6,73904;;;;;;6,747737;6,73904;0,008697;;;-0,001584;0,010281;0,011865
288;6,747737;;;;;;6,758018;6,747737;0,010281;;;0,004328;0,005953;0,001625
289;6,758018;;;;;;6,763971;6,758018;0,005953;;;0,005538;0,000415;-0,005123
290;6,763971;;;;;;6,764386;6,763971;0,000415;;;-0,00111;0,001525;0,002635
291;6,764386;;;;;;6,765911;6,764386;0,001525;;;-0,003658;0,005183;0,008841
292;6,765911;;;;;;6,771094;6,765911;0,005183;;;0,004787;0,000396;-0,004391
293;6,771094;;;;;;6,77149;6,771094;0,000396;;;-0,005377;0,005773;0,01115
294;6,77149;;;;;;6,777263;6,77149;0,005773;;;0,005388;0,000385;-0,005003
295;6,777263;;;;;;6,777648;6,777263;0,000385;;;-0,001063;0,001448;0,002511
296;6,777648;;;;;;6,779096;6,777648;0,001448;;;-0,021243;0,022691;0,043934
297;6,779096;;;;;;6,801787;6,779096;0,022691;;;0,021561;0,00113;-0,020431
298;6,801787;;;;;;6,802917;6,801787;0,00113;;;-0,00125;0,00238;0,00363
299;6,802917;;;;;;6,805297;6,802917;0,00238;;;-0,010763;0,013143;0,023906
300;6,805297;;;;;;6,81844;6,805297;0,013143;;;0,011401;0,001742;-0,009659
301;6,81844;;;;;;6,820182;6,81844;0,001742;;;0,001229;0,000513;-0,000716
302;6,820182;;;;;;6,820695;6,820182;0,000513;;;0,000213;0,0003;8,7E-05
